wave,health_type,n_obs,mean_frailty,std_frailty
1,1,40273,0.02146553476228443,0.03368349848043522
1,2,987,0.26038500506585605,0.1572900929057173
1,3,7944,0.15493174443325497,0.09725088081430212
2,1,42842,0.018964602060629308,0.031949755186208774
2,2,1076,0.4527743356739639,0.34462004080058606
2,3,8608,0.14022700674652344,0.0949596227360495
3,1,40084,0.020087445993044222,0.03253731296800489
3,2,812,0.5806878306878306,0.34702197941670376
3,3,8045,0.14996201919756919,0.12177740704080647
4,1,38225,0.021016883462926614,0.033264831094349426
4,2,605,0.6279767370676461,0.32946752359266973
4,3,7648,0.17601309468464277,0.16636244650202117
5,1,36782,0.022183757353133663,0.0343367550808588
5,2,393,0.5551785882574686,0.29180961048394627
5,3,7104,0.1870151401401401,0.17909091230474652
6,1,37742,0.022105248696314334,0.03453052274880814
6,2,351,0.4756779571594386,0.30112716440271203
6,3,6729,0.19449260525200482,0.1911905820380534
7,1,35612,0.023861078870626197,0.03625551414520074
7,2,304,0.592714424951267,0.30329555927293894
7,3,6219,0.21605236044856557,0.20776179718848198
8,1,33603,0.027113981225221274,0.03877571373258997
8,2,239,0.5766310243297691,0.2885564224345094
8,3,5657,0.23987324782799413,0.21807399715859183
9,1,31287,0.029422941015615267,0.0415155801415384
9,2,177,0.5743879472693032,0.2664093011957741
9,3,4970,0.24985468365750052,0.21791676301699886
10,1,29967,0.036028520261176165,0.04988485153269669
10,2,155,0.6138590203106331,0.2671761869474238
10,3,4563,0.27395069845212294,0.21616160393752942
11,1,28288,0.03832799145299143,0.05475452919010422
11,2,127,0.6386701662292213,0.26477366081033005
11,3,3939,0.2819384502552819,0.21951038021247615
12,1,26195,0.03931482541904376,0.05866475198786895
12,2,106,0.6771488469601676,0.27325559262972055
12,3,3307,0.29104368959222293,0.22583796199233402
13,1,25310,0.04096755783835987,0.06362146453220656
13,2,74,0.6866866866866866,0.25023725061193663
13,3,2954,0.3052985280473432,0.23783389204290634
